Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,/nextflow_runs/work/7d/08d2783d1084814af8165d1e2d97c1/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep2_R1.mzML,/nextflow_runs/work/28/9bec088bcb7fb3843db5f7c46e0085/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep4_R1.mzML,/nextflow_runs/work/0d/46a1e273674bf39ac22939255c5c1b/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep3_R1.mzML,/nextflow_runs/work/51/3e8009125250b1475b98133587a8a2/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep3_R1.mzML,/nextflow_runs/work/bc/68df10861519f9d6dc989ed6e132e5/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep1_R1.mzML,/nextflow_runs/work/c9/ab0965fec1300baecf563186c1a3bd/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep1_R1.mzML,/nextflow_runs/work/e5/8aeba0633abd65fc9dc44170acd0ec/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep2_R1.mzML,/nextflow_runs/work/7d/d93e795d31ba4e43bd910b97384596/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep4_R1.mzML
Q8BMF4,Q8BMF4,ODP2_MOUSE,Dlat,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",1.80E+06,1.55E+06,1.51E+06,1.68E+06,1.54E+06,1.51E+06,1.54E+06,1.62E+06
Q8BMG7,Q8BMG7,RBGPR_MOUSE,Rab3gap2,Rab3 GTPase-activating protein non-catalytic subunit,7950.85,4991.34,6955.62,6052.59,7783.66,6364.26,7519.84,7448.36
Q8BMG8,Q8BMG8,MFTC_MOUSE,Slc25a32,Mitochondrial folate transporter/carrier,28277.4,22185.7,29866,28765.2,33241.8,30820.9,33149.8,28881.4
Q8BMI0,Q8BMI0,FBX38_MOUSE,Fbxo38,F-box only protein 38,7272.32,9284.6,12616.6,13611.9,12707.3,6964.1,8541.5,13127.8
Q8BMI3,Q8BMI3,GGA3_MOUSE,Gga3,ADP-ribosylation factor-binding protein GGA3,,4669.55,7481.15,4973.97,5086.87,7031.99,6937.22,8236.63
Q8BMJ2,Q8BMJ2,SYLC_MOUSE,Lars1,"Leucine--tRNA ligase, cytoplasmic",40262.1,61856.2,45549.2,56083.5,47829.5,50603.4,48799.2,52923.1
Q8BMJ3,Q8BMJ3,IF1AX_MOUSE,Eif1ax,"Eukaryotic translation initiation factor 1A, X-chromosomal",231587,183136,167104,157386,200291,139628,201227,210562
Q8BMJ7,Q8BMJ7,CGRF1_MOUSE,Cgrrf1,Cell growth regulator with RING finger domain protein 1,9537.7,8078.75,7639.75,8226.12,,6458.7,5120.66,6019.53
Q8BMK4,Q8BMK4,CKAP4_MOUSE,Ckap4,Cytoskeleton-associated protein 4,29421.7,30258.4,29405.4,33528.9,33926.2,33444.5,32046.5,32683.7
Q8BML9,Q8BML9,SYQ_MOUSE,Qars1,Glutamine--tRNA ligase,14275.5,23872,14019.7,14225.6,17105.2,16879,18988,15218.6
Q8BML9;Q8CGC7,Q8BML9;Q8CGC7,SYEP_MOUSE;SYQ_MOUSE,Eprs1;Qars1,Glutamine--tRNA ligase,,9236.46,15117.3,12365.4,,,19391.7,
Q8BMP6,Q8BMP6,GCP60_MOUSE,Acbd3,Golgi resident protein GCP60,20639.6,26500.8,35313,26765.8,33723.5,34001.6,35431.6,31363.4
Q8BMQ8,Q8BMQ8,MON1B_MOUSE,Mon1b,Vacuolar fusion protein MON1 homolog B,,6990.02,8884.71,9398.64,,6434.28,12282.3,5680.03
Q8BMS1,Q8BMS1,ECHA_MOUSE,Hadha,"Trifunctional enzyme subunit alpha, mitochondrial",1.00E+06,1.19E+06,1.12E+06,987517,1.10E+06,1.10E+06,1.08E+06,1.23E+06
Q8BMS4,Q8BMS4,COQ3_MOUSE,Coq3,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",45637.9,46407.7,50368.3,53258.8,49611.3,50801,53248.5,48337.9
Q8BMW7,Q8BMW7,NIPA3_MOUSE,Nipal1,Magnesium transporter NIPA3,7551.95,6937.98,9746.63,5064.04,5525.73,6460.83,6215.42,8600.6
Q8BN57,Q8BN57,CC033_MOUSE,,Protein C3orf33 homolog,8930.51,9432.58,5984.35,8727.06,6448.34,5031.61,7083.25,8333.21
Q8BN82,Q8BN82,S17A5_MOUSE,Slc17a5,Sialin,22184.3,23332.7,15670.6,21038.2,23956.3,18600.6,20741.9,20188.2
Q8BND5,Q8BND5,QSOX1_MOUSE,Qsox1,Sulfhydryl oxidase 1,52907.3,59260.1,52890.8,57909.6,59237,51432.3,58660.9,49917.9
Q8BNI4,Q8BNI4,DERL2_MOUSE,Derl2,Derlin-2,72868.3,55933.1,82564,83786.8,81262.3,90282,80530,72412.4
Q8BNU0,Q8BNU0,ARMC6_MOUSE,Armc6,Armadillo repeat-containing protein 6,8717.62,4732.36,9538.52,10294.8,8512.86,8244.51,10614.6,8730.21
Q8BNV1,Q8BNV1,TRM2A_MOUSE,Trmt2a,tRNA (uracil-5-)-methyltransferase homolog A,7544.71,7917.57,5774.93,3894.21,5831.7,4397.7,8177.08,7138.65
Q8BNX1,Q8BNX1,CLC4G_MOUSE,Clec4g,C-type lectin domain family 4 member G,48511.2,48646.5,51060.4,48330.7,46719.3,39979.1,48871.1,47045.7
Q8BP07,Q8BP07,TM220_MOUSE,Tmem220,Transmembrane protein 220,4475.33,12151,12418,8917.61,17094.7,13100.8,14017,17563.2
Q8BP27,Q8BP27,SFR1_MOUSE,Sfr1,Swi5-dependent recombination DNA repair protein 1 homolog,44070.6,46678.1,53212.7,60656.3,54948,46599,51099.9,54015.3
Q8BP40,Q8BP40,PPA6_MOUSE,Acp6,Lysophosphatidic acid phosphatase type 6,577164,660549,717210,638202,713520,724460,738951,763687
Q8BP47,Q8BP47,SYNC_MOUSE,NARS1,"Asparagine--tRNA ligase, cytoplasmic",126234,140394,131031,146923,137120,147919,147490,151178
Q8BP48,Q8BP48,MAP11_MOUSE,Metap1,Methionine aminopeptidase 1,227248,199307,229095,189475,205763,238712,229949,219436
Q8BP56,Q8BP56,PGGHG_MOUSE,Pgghg,Protein-glucosylgalactosylhydroxylysine glucosidase,55472.2,52294.3,57149.4,55623.2,63659,64641.3,73481.2,61242.1
Q8BP67,Q8BP67,RL24_MOUSE,Rpl24,Large ribosomal subunit protein eL24,108657,141836,133932,129163,133646,121404,127218,135777
Q8BP78,Q8BP78,F10C1_MOUSE,Fra10ac1,Protein FRA10AC1 homolog,27590.9,24168.6,28935.1,23904.5,29044.2,26843.6,26534.7,25757.7
Q8BP92,Q8BP92,RCN2_MOUSE,Rcn2,Reticulocalbin-2,18294.6,18603.9,21720.2,16122,14774.9,18084.2,18734.7,17376.5
Q8BPB0;Q921Y0,Q8BPB0;Q921Y0,MOB1A_MOUSE;MOB1B_MOUSE,Mob1a;Mob1b,MOB kinase activator 1B,14537.5,31244.2,32517.5,27416.1,24650.4,43543.1,32897,31447.6
Q8BPB5,Q8BPB5,FBLN3_MOUSE,Efemp1,EGF-containing fibulin-like extracellular matrix protein 1,12640.9,13614.1,14655,13417.2,13605.6,13241.5,15687.5,14105.1
Q8BPE4,Q8BPE4,TM177_MOUSE,Tmem177,Transmembrane protein 177,73601.6,54083.3,64086.7,67761.1,74274.3,71218.7,78838.4,61803.2
Q8BPG6,Q8BPG6,SUMF2_MOUSE,Sumf2,Inactive C-alpha-formylglycine-generating enzyme 2,5098.19,8614.29,9489.64,7576.71,8658.53,9510.18,6794.16,6928.95
Q8BPM0,Q8BPM0,DAAM1_MOUSE,Daam1,Disheveled-associated activator of morphogenesis 1,22841.4,23041.4,21231.4,19940,20153.7,18436.9,18652.7,24366.9
Q8BPS4,Q8BPS4,GP180_MOUSE,Gpr180,Integral membrane protein GPR180,2646.24,5299.51,3945.42,5273.91,3846.13,2791.54,2251.96,2272.25
Q8BPT6,Q8BPT6,IMP2L_MOUSE,Immp2l,Mitochondrial inner membrane protease subunit 2,32316.7,41619,38534.1,35108.8,39617.3,35708.9,40963.5,44540.4
Q8BPZ8,Q8BPZ8,ABRX1_MOUSE,Abraxas1,BRCA1-A complex subunit Abraxas 1,,10430.2,11793.5,10261,8728.04,12148.1,11190.7,6489.75
Q8BQ30,Q8BQ30,PPR18_MOUSE,Ppp1r18,Phostensin,24967,26325.7,21153.8,29548.2,25910.4,25017.7,25951.3,24296.2
Q8BQ47,Q8BQ47,CNPY4_MOUSE,Cnpy4,Protein canopy homolog 4,10856.9,10449.5,9574.29,12802.2,11086.2,12182,13834.4,8892
Q8BQM4,Q8BQM4,HEAT3_MOUSE,Heatr3,HEAT repeat-containing protein 3,3836.87,,8155.35,10274.3,9222.39,8743.24,9271.62,9235.22
Q8BQS5,Q8BQS5,PAQR2_MOUSE,Adipor2,Adiponectin receptor protein 2,16890.9,24547.6,22897.3,25003.8,12109.8,17386.2,20291.3,21852.7
Q8BQU3,Q8BQU3,SDHF3_MOUSE,Sdhaf3,"Succinate dehydrogenase assembly factor 3, mitochondrial",34831.2,41962.7,38331.3,36787.8,41480.1,37742.2,36779.3,42085.8
Q8BQX5,Q8BQX5,TMCO6_MOUSE,Tmco6,Transmembrane and coiled-coil domain-containing protein 6,51040.7,59968.9,40786.5,50568.7,48714.9,52693.9,48816.6,55161.1
Q8BQZ4,Q8BQZ4,RLGPB_MOUSE,Ralgapb,Ral GTPase-activating protein subunit beta,755.829,2766.61,1339.71,2052.41,,940.884,2147.47,1593.68
Q8BQZ5,Q8BQZ5,CPSF4_MOUSE,Cpsf4,Cleavage and polyadenylation specificity factor subunit 4,25145.2,21030.7,14971,18377.9,12445.3,14496.1,12758.2,14445.7
Q8BR63,Q8BR63,F177A_MOUSE,Fam177a1,Protein FAM177A1,13888.6,11778.8,11919.8,15551.1,9727.23,9858.02,16126,12474.6
Q8BR65,Q8BR65,SDS3_MOUSE,Suds3,Sin3 histone deacetylase corepressor complex component SDS3,,6587.44,6800.72,9487.03,,,10831.4,5781.49
Q8BR70,Q8BR70,YIPF6_MOUSE,Yipf6,Protein YIPF6,,52330.2,45016.7,53546,56834.1,57033.6,61272.6,48333.7
Q8BRF7,Q8BRF7,SCFD1_MOUSE,Scfd1,Sec1 family domain-containing protein 1,29802.1,36445.8,34491.8,33747.6,33948.1,31406.3,33708.5,35678.2
Q8BRK8,Q8BRK8,AAPK2_MOUSE,Prkaa2,5'-AMP-activated protein kinase catalytic subunit alpha-2,137776,163307,152806,120429,146719,128052,123108,118168
Q8BRK9,Q8BRK9,MA2A2_MOUSE,Man2a2,Alpha-mannosidase 2x,18658,21068.1,16711.3,17972.8,24917.3,25453.5,19789.4,24171.3
Q8BRM2,Q8BRM2,GORAB_MOUSE,Gorab,RAB6-interacting golgin,20383.3,22017.6,16665.3,17541.6,16123.5,17770.8,25969,19127.7
Q8BRT1,Q8BRT1,CLAP2_MOUSE,Clasp2,CLIP-associating protein 2,76874.6,86743.4,84482.8,78909.5,62035.8,70676.7,75390.3,74513
Q8BRV5,Q8BRV5,K1671_MOUSE,Kiaa1671,Uncharacterized protein KIAA1671,42277.7,51704.9,49279.9,56248,46111.2,49464,53223.8,58502.6
Q8BS35,Q8BS35,ALKMO_MOUSE,Agmo,Alkylglycerol monooxygenase,,10818.4,6327.63,6822.26,12392.5,10350.6,7348.64,7047.26
Q8BSD5,Q8BSD5,SHE_MOUSE,She,SH2 domain-containing adapter protein E,,10241.2,7784.64,6232.13,8473.22,6269.21,8385.03,7580.03
Q8BSE0,Q8BSE0,RMD2_MOUSE,Rmdn2,Regulator of microtubule dynamics protein 2,22762.5,18416,21801.4,20401.7,18838.7,21787.1,28198.6,20633.6
Q8BSF4,Q8BSF4,PISD_MOUSE,Pisd,"Phosphatidylserine decarboxylase proenzyme, mitochondrial",37774.3,43255.3,40864.6,42623,37167.8,47971.4,51371.1,42991.7
Q8BSK8,Q8BSK8;Q9Z1M4,KS6B1_MOUSE,Rps6kb1,Ribosomal protein S6 kinase beta-1,15489.6,34220.4,,28349.9,34106.8,9844.54,17315.7,26727.8
Q8BSM7,Q8BSM7,LAT3_MOUSE,Slc43a1,Large neutral amino acids transporter small subunit 3,61410.8,62357.7,54996.7,72198.3,59215.1,49393,53950.7,53245.9
Q8BSN5,Q8BSN5,PHF23_MOUSE,Phf23,PHD finger protein 23,13698.1,15926.4,17433.1,20136.5,17687.3,14493.5,19176,16271.4
Q8BSY0,Q8BSY0,ASPH_MOUSE,Asph,Aspartyl/asparaginyl beta-hydroxylase,60602.8,43426.9,56248.9,64524.6,66125.8,54383.4,56803.5,64008.1
Q8BSZ2,Q8BSZ2,AP3S2_MOUSE,Ap3s2,AP-3 complex subunit sigma-2,11152.1,12131.9,9689.18,11044.5,14138,8023.2,7694.82,9893.36
Q8BT14,Q8BT14,CNOT4_MOUSE,Cnot4,CCR4-NOT transcription complex subunit 4,41557.8,32903.3,32966,36743.5,32747.9,29193.7,35354.4,32309.4
Q8BT60,Q8BT60,CPNE3_MOUSE,Cpne3,Copine-3,40683,55883.4,52564.1,52602.4,53796.9,37553.4,51851.7,54590.7
Q8BT60;Q8C166,Q8BT60;Q8C166,CPNE1_MOUSE;CPNE3_MOUSE,Cpne1;Cpne3,Copine-3,39401.4,37460.1,46137.1,36505.1,37579.9,45364.3,37297,46057.6
Q8BTE0,Q8BTE0,SDHF4_MOUSE,Sdhaf4,"Succinate dehydrogenase assembly factor 4, mitochondrial",46163.1,71849.8,66653.3,66164.2,80075.4,62505.9,73514.4,60582.1
Q8BTE5,Q8BTE5,CEBOS_MOUSE,Cebpzos,Protein CEBPZOS,20033.2,22959.2,16931,22750.2,22470,20379.6,22782.4,23532.8
Q8BTI8,Q8BTI8,SRRM2_MOUSE,Srrm2,Serine/arginine repetitive matrix protein 2,124037,113909,107224,113115,118425,94598.1,108885,115413
Q8BTJ4,Q8BTJ4,ENPP4_MOUSE,Enpp4,Bis(5'-adenosyl)-triphosphatase enpp4,48365.2,44376,52690.6,38852.9,41982.6,51311.9,48708.7,47120.7
Q8BTM8,Q8BTM8,FLNA_MOUSE,Flna,Filamin-A,94442.9,104838,105955,108147,109954,106052,115212,101441
Q8BTM8;Q8VHX6,Q8BTM8;Q8VHX6,FLNA_MOUSE;FLNC_MOUSE,Flna;Flnc,Filamin-A,7516.93,5995.58,8989.33,7777.83,11392.2,11521.9,13807.3,7075.88
Q8BTR5,Q8BTR5,DUS28_MOUSE,Dusp28,Dual specificity phosphatase 28,28985.2,31342.2,34018.9,37835.8,38388.5,33334.6,30335.9,31820.8
Q8BTS4,Q8BTS4,NUP54_MOUSE,Nup54,Nuclear pore complex protein Nup54,31748.9,39186.7,32017,35291.4,25400.8,30000.6,32530.2,34809.2
Q8BTU1,Q8BTU1,CFA20_MOUSE,Cfap20,Cilia- and flagella-associated protein 20,46501.2,43189.2,41448.6,36325.9,31363.6,34945.4,31055.5,39234.3
Q8BTV2,Q8BTV2,CPSF7_MOUSE,Cpsf7,Cleavage and polyadenylation specificity factor subunit 7,56440.3,69323.5,52150.4,60072.3,55336.6,53896.5,63443.6,56208.1
Q8BTW3,Q8BTW3,EXOS6_MOUSE,Exosc6,Exosome complex component MTR3,86335.6,86023.9,84702.7,87485.2,91693.6,72260.1,92708.8,84706.6
Q8BTW9,Q8BTW9,PAK4_MOUSE,Pak4,Serine/threonine-protein kinase PAK 4,33636,33116.1,33220.9,10468.3,28414.3,7398.09,7717.79,6468.26
Q8BTX9,Q8BTX9,HSDL1_MOUSE,Hsdl1,Inactive hydroxysteroid dehydrogenase-like protein 1,45623.8,43844.6,45834.2,46539.1,42777.4,44405.8,48950.7,39420
Q8BTY1,Q8BTY1,KAT1_MOUSE,Kyat1,Kynurenine--oxoglutarate transaminase 1,230071,223349,262950,259937,260744,290265,288290,270857
Q8BTY2,Q8BTY2,S4A7_MOUSE,Slc4a7,Sodium bicarbonate cotransporter 3,13748.2,18359.5,14869.8,11712.2,,9525.63,12290.4,13695
Q8BTY8,Q8BTY8,SCFD2_MOUSE,Scfd2,Sec1 family domain-containing protein 2,15032.9,15209.8,11529.9,13269.7,12212,12128.6,14425.2,11530.9
Q8BTZ5,Q8BTZ5,ANR46_MOUSE,Ankrd46,Ankyrin repeat domain-containing protein 46,,17262.3,12399.4,7887.18,12143.2,,15856.5,10220.3
Q8BTZ7,Q8BTZ7,GMPPB_MOUSE,Gmppb,Mannose-1-phosphate guanyltransferase beta,203500,248446,231851,223352,290691,280988,268577,262219
Q8BU04,Q8BU04,UBR7_MOUSE,Ubr7,Putative E3 ubiquitin-protein ligase UBR7,25966.6,23843.2,25432.8,23476.8,26171.3,29911.1,33698,21057.2
Q8BU11,Q8BU11,TOX4_MOUSE,Tox4,TOX high mobility group box family member 4,39336.8,33678.1,35751.7,36101.5,34816.5,29647.8,33745.3,33638.9
Q8BU14,Q8BU14,SEC62_MOUSE,Sec62,Translocation protein SEC62,281486,307946,323436,324241,321273,334506,332953,325205
Q8BU30,Q8BU30,SYIC_MOUSE,Iars1,"Isoleucine--tRNA ligase, cytoplasmic",21008.1,31726.3,29651.8,27860.1,28568.7,32043.7,31484.2,27203.1
Q8BU31,Q8BU31,RAP2C_MOUSE,Rap2c,Ras-related protein Rap-2c,14827.9,14839.8,14295.2,22713,17531.2,12445,18587.9,18346.5
Q8BU33,Q8BU33,HACL2_MOUSE,Ilvbl,2-hydroxyacyl-CoA lyase 2,67614.5,75919.9,76374,75985.4,81567,75244.3,79633.1,73441.9
Q8BU85,Q8BU85,MSRB3_MOUSE,Msrb3,"Methionine-R-sulfoxide reductase B3, mitochondrial",17422.6,22976.7,21646.8,22529.6,22392.5,22505.7,25516,22167.6
Q8BU88,Q8BU88,RM22_MOUSE,Mrpl22,Large ribosomal subunit protein uL22m,2128.87,4805.84,,,4058.69,4856.29,3531.88,3818.41
Q8BUE4,Q8BUE4,FSP1_MOUSE,Aifm2,Ferroptosis suppressor protein 1,13650.8,12172.8,13423,13338.8,12803.1,10655.1,10664.8,12534
Q8BUH1,Q8BUH1,TXN4B_MOUSE,Txnl4b,Thioredoxin-like protein 4B,3172.19,8617.61,6308.35,4201.81,13425.6,6970.37,10774.4,6503.65
Q8BUK6,Q8BUK6,HOOK3_MOUSE,Hook3,Protein Hook homolog 3,28990.1,27436.8,30002.6,31890.5,31632.2,28514.3,32270.2,30309.3
Q8BUR4,Q8BUR4,DOCK1_MOUSE,Dock1,Dedicator of cytokinesis protein 1,10312.6,25012.6,11933,13219.9,13292.5,18088.5,10024.2,21138.6
Q8BUV3,Q8BUV3,GEPH_MOUSE,Gphn,Gephyrin,547179,613144,591296,609722,594978,530981,625515,580438
Q8BUV8,Q8BUV8,GP107_MOUSE,Gpr107,Protein GPR107,19573.2,15381.7,19239.6,15452.7,21025,15971.5,15209.3,13034.2
Q8BUX5,Q8BUX5,RHBG_MOUSE,Rhbg,Ammonium transporter Rh type B,18335.3,22119.1,27721.2,19548.6,29117.6,27106.1,24995.5,18495.2
Q8BUY5,Q8BUY5,TIDC1_MOUSE,Timmdc1,"Complex I assembly factor TIMMDC1, mitochondrial",153705,199893,200431,208374,210958,193366,216416,188195
Q8BUY9,Q8BUY9,PGTB1_MOUSE,Pggt1b,Geranylgeranyl transferase type-1 subunit beta,59821.2,63531.2,71135,75976.9,75071,77207.4,79461.1,71898.1
Q8BV13,Q8BV13,CSN7B_MOUSE,Cops7b,COP9 signalosome complex subunit 7b,17202,21636.5,19445.4,14522.8,18802.2,21181,17996.7,20064.6
Q8BVA4,Q8BVA4,LMOD1_MOUSE,Lmod1,Leiomodin-1,17308.4,21095.3,33656.7,14412.2,15355.8,38958.7,20907.1,25137
Q8BVA5,Q8BVA5,LDAH_MOUSE,Ldah,Lipid droplet-associated hydrolase,70535.4,88671.3,75243.1,81425.7,68935.9,71418.3,76167.1,75777.3
Q8BVE3,Q8BVE3,VATH_MOUSE,Atp6v1h,V-type proton ATPase subunit H,78973.6,98255.2,78569,91387.7,99229.7,90944.8,96872.3,84210.3
Q8BVF2,Q8BVF2,PDCL3_MOUSE,Pdcl3,Phosducin-like protein 3,48570.4,48296.9,37772.4,47994.3,47299.8,38463.5,47828.5,42246.1
Q8BVF7,Q8BVF7,APH1A_MOUSE,Aph1a,Gamma-secretase subunit APH-1A,15338.4,22937.7,29726,30736.4,19578.7,20598.3,20925.9,23574.2
Q8BVG4,Q8BVG4,DPP9_MOUSE,Dpp9,Dipeptidyl peptidase 9,32216.9,40698,33305,32136.8,34731.2,37715.3,39657.6,38042
Q8BVI4,Q8BVI4,DHPR_MOUSE,Qdpr,Dihydropteridine reductase,4.70E+06,8.73E+06,9.36E+06,8.25E+06,8.21E+06,8.20E+06,9.20E+06,9.08E+06
Q8BVL3,Q8BVL3,SNX17_MOUSE,Snx17,Sorting nexin-17,7873.59,29783.9,18389.1,24090.9,,11491.7,13992.4,12252.5
Q8BVN8,Q8BVN8,IDLC_MOUSE,Dnali1,Axonemal dynein light intermediate polypeptide 1,,4627.51,,3085.92,4814.95,3791.51,3088.12,3003.81
Q8BVP5;Q8C4X2,Q8BTH8;Q8BVP5;Q8C4X2,KC1G2_MOUSE;KC1G3_MOUSE,Csnk1g2;Csnk1g3,Casein kinase I isoform gamma-2,26560.2,18498.7,25175,14036.4,20319.4,15618.7,15657.6,17129.3
Q8BVQ5,Q8BVQ5,PPME1_MOUSE,Ppme1,Protein phosphatase methylesterase 1,113349,133222,123598,130521,123169,124586,133759,128946
Q8BVR6,Q8BVR6,RSPRY_MOUSE,Rspry1,RING finger and SPRY domain-containing protein 1,10383.3,15950.5,14862.2,19708.5,16235.1,16308.8,16738,17938.6
Q8BVU5,Q8BVU5,NUDT9_MOUSE,Nudt9,"ADP-ribose pyrophosphatase, mitochondrial",38230.4,46381,49592.9,39698.5,49574.6,54321.8,58079.4,55054.2
Q8BVW0,Q8BVW0,GANC_MOUSE,Ganc,Neutral alpha-glucosidase C,2784.23,10839.4,7225.6,10883.2,,12050.6,11291.7,12361.4
Q8BVW3,Q8BVW3,TRI14_MOUSE,Trim14,Tripartite motif-containing protein 14,57248.4,56875.8,50521.1,51063.5,51572.9,52200.1,63354.8,58119.1
Q8BVY0,Q8BVY0,RL1D1_MOUSE,Rsl1d1,Ribosomal L1 domain-containing protein 1,22191.5,37454.4,33535.1,31480,28056.5,27444,28095.1,33627.2
Q8BVZ1,Q8BVZ1,PLIN5_MOUSE,Plin5,Perilipin-5,6574.29,8957.4,11590.3,8996.98,9610.76,17846.8,11158.2,11810.3
Q8BW22,Q8BW22,CREST_MOUSE,Ss18l1,Calcium-responsive transactivator,,1353.37,3465.26,,2859.86,2152.2,3067.65,
Q8BW75,Q8BW75,AOFB_MOUSE,Maob,Amine oxidase [flavin-containing] B,2.06E+06,4.37E+06,4.76E+06,3.59E+06,4.62E+06,4.91E+06,4.81E+06,4.58E+06
Q8BW96,Q8BW96,KCC1D_MOUSE,Camk1d,Calcium/calmodulin-dependent protein kinase type 1D,15195.5,13012.2,14626.3,18417.4,,15701.5,13022.2,14641.3
Q8BW96;Q91YS8,Q8BW96;Q91YS8,KCC1A_MOUSE;KCC1D_MOUSE,Camk1;Camk1d,Calcium/calmodulin-dependent protein kinase type 1D,38093.9,23292.9,31570.6,26780.8,32311.4,21842.3,26756.5,21784.8
Q8BWD8,Q8R3L8;Q8BWD8,CDK19_MOUSE,Cdk19,Cyclin-dependent kinase 19,4858.88,6653.19,2695.03,,2926.74,706.922,1175.81,
Q8BWF0,Q8BWF0,SSDH_MOUSE,Aldh5a1,"Succinate-semialdehyde dehydrogenase, mitochondrial",919668,1.32E+06,1.36E+06,1.13E+06,1.35E+06,1.33E+06,1.33E+06,1.36E+06
Q8BWG8,Q8BWG8,ARRB1_MOUSE,Arrb1,Beta-arrestin-1,88687.4,92344.5,87821.5,90085.2,95694.8,87374.2,96193.4,88228.1
Q8BWG9,Q8BWG9,CRCM1_MOUSE,Orai1,Calcium release-activated calcium channel protein 1,,20399,18774.7,17303.1,24295.8,30560.1,31112.6,20866
Q8BWH0,Q8BWH0,S38A7_MOUSE,Slc38a7,Sodium-coupled neutral amino acid transporter 7,14949.9,14329.9,17833.7,16908,,12743.9,18060.5,10222.6
Q8BWJ3,Q8BWJ3,KPB2_MOUSE,Phka2,"Phosphorylase b kinase regulatory subunit alpha, liver isoform",30687.2,46027.2,32765.7,26410.5,36193.2,32587.3,22904.7,27778.2
Q8BWM0,Q8BWM0,PGES2_MOUSE,Ptges2,Prostaglandin E synthase 2,221271,222002,210191,219458,211129,184955,225244,213949
Q8BWN8,Q8BWN8,ACOT4_MOUSE,Acot4,Peroxisomal succinyl-coenzyme A thioesterase,324797,374159,320177,340335,405073,317866,336419,377658
Q8BWN8;Q9QYR7,Q6Q2Z6;Q8BWN8;Q9QYR7;Q32Q92,ACOT3_MOUSE;ACOT4_MOUSE,Acot3;Acot4,Peroxisomal succinyl-coenzyme A thioesterase,49626.5,79090.6,96863.1,53500.2,69457.8,104462,85814,110493
Q8BWP5,Q8BWP5,TTPA_MOUSE,Ttpa,Alpha-tocopherol transfer protein,1.37E+06,1.90E+06,1.97E+06,1.65E+06,1.99E+06,2.09E+06,2.03E+06,1.95E+06
Q8BWP8,Q8BWP8,B4GA1_MOUSE,B4gat1,"Beta-1,4-glucuronyltransferase 1",25895.8,11330.3,13947.9,23796.1,19497.5,17917.7,15032.3,18514.7
Q8BWQ1,Q8BWQ1,UD2A3_MOUSE,Ugt2a3,UDP-glucuronosyltransferase 2A3,2.27E+06,3.18E+06,3.30E+06,2.63E+06,3.16E+06,3.30E+06,3.11E+06,3.21E+06
Q8BWQ6,Q8BWQ6,VP35L_MOUSE,Vps35l,VPS35 endosomal protein-sorting factor-like,11567.7,9959.89,11531.9,12832,11611.1,12400.8,12277.6,13315.2
Q8BWR2,Q8BWR2,PITH1_MOUSE,Pithd1,PITH domain-containing protein 1,15769.2,25724.8,17466.6,18495.9,21470.4,17401.6,14049.1,15372.4
Q8BWR8,Q8BWR8,RHPN2_MOUSE,Rhpn2,Rhophilin-2,4118.3,2807.88,2713.56,2805.95,4946.6,3173.11,1915.67,3645.99
Q8BWS5,Q8BWS5,GRIN3_MOUSE,Gprin3,G protein-regulated inducer of neurite outgrowth 3,83740.8,91010.8,109574,99714.6,96303.4,85379.7,102900,97583.1
Q8BWT1,Q8BWT1,THIM_MOUSE,Acaa2,"3-ketoacyl-CoA thiolase, mitochondrial",1.09E+07,1.92E+07,2.04E+07,1.61E+07,1.83E+07,1.75E+07,1.89E+07,2.07E+07
Q8BWT5,Q8BWT5,DIP2A_MOUSE,Dip2a,Disco-interacting protein 2 homolog A,5151.39,12853.5,7217.05,11694.1,10498.7,9778.84,7950.97,7493.56
Q8BWU5,Q8BWU5,OSGEP_MOUSE,Osgep,tRNA N6-adenosine threonylcarbamoyltransferase,53257.5,54433.6,44638.6,49520.9,49295.1,43467.2,52400.2,53695.7
Q8BWU8,Q8BWU8,AT2L1_MOUSE,Etnppl,Ethanolamine-phosphate phospho-lyase,80478.8,90355.9,89591,91213.5,113255,102605,106213,99512.2
Q8BWW4,Q8BWW4,LARP4_MOUSE,Larp4,La-related protein 4,134583,142358,134129,129808,135320,120159,133815,129611
Q8BWW9,Q8BWW9,PKN2_MOUSE,Pkn2,Serine/threonine-protein kinase N2,5046.22,5874.03,6879.96,6570.19,7517.83,7457.27,7637.16,6021.25
Q8BWY2,Q8BWY2,CLC1A_MOUSE,Clec1a,C-type lectin domain family 1 member A,6200.38,6975.67,5164.68,5293.34,6512.5,5788.41,7141.56,5922.82
